latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
39.7594,-121.4494,369.3,2.6,1.5,2018-11-09,0931,Aqua,MODIS,100,6.03,292.6,456.9,N,0
39.7296,-121.4535,373.3,1,1,2018-11-09,1857,Terra,MODIS,100,6.03,290.1,125.1,D,0
39.7386,-121.4511,376.6,1,1,2018-11-09,1857,Terra,MODIS,100,6.03,296,138.5,D,0
39.736,-121.4421,324.2,1,1,2018-11-10,1014,Aqua,MODIS,61,6.03,283.8,24.6,N,0
39.7379,-121.4539,319.3,1,1,2018-11-10,1014,Aqua,MODIS,53,6.03,283.3,18.7,N,0
39.7469,-121.4517,349.1,1,1,2018-11-10,1014,Aqua,MODIS,100,6.03,286.3,65.6,N,0
39.7613,-121.4412,322,3.7,1.8,2018-11-11,1057,Aqua,MODIS,100,6.03,282.7,154.9,N,0
39.752,-121.4375,324.9,3.7,1.8,2018-11-11,1057,Aqua,MODIS,100,6.03,283.3,175,N,0
39.748,-121.4352,315.6,1.4,1.2,2018-11-11,1845,Terra,MODIS,36,6.03,287.2,20.7,D,0
39.7498,-121.4519,315.6,1.4,1.2,2018-11-11,1845,Terra,MODIS,35,6.03,287.1,19.8,D,0
39.7582,-121.4327,329.9,1.4,1.2,2018-11-11,1845,Terra,MODIS,37,6.03,288.1,41,D,0
39.7501,-121.4426,317.9,1.4,1.2,2018-11-12,0549,Terra,MODIS,62,6.03,284.7,26.5,N,0
39.7294,-121.4381,319,1.4,1.2,2018-11-12,0549,Terra,MODIS,98,6.03,286,28.7,N,0
39.7319,-121.4307,319.2,1,1,2018-11-12,1002,Aqua,MODIS,98,6.03,285.7,19.5,N,0
39.7335,-121.4424,317.5,1,1,2018-11-12,1002,Aqua,MODIS,90,6.03,285.4,17.8,N,0
39.7426,-121.4402,308.1,1,1,2018-11-12,1002,Aqua,MODIS,47,6.03,284,10.2,N,0
39.7516,-121.438,320.2,1,1,2018-11-12,1002,Aqua,MODIS,42,6.03,284.5,19.5,N,0
39.7245,-121.445,325.7,1,1,2018-11-12,1002,Aqua,MODIS,100,6.03,285.8,26.6,N,0
39.7233,-121.4368,331.8,1,1,2018-11-12,2107,Aqua,MODIS,44,6.03,291.8,29.3,D,0
39.7308,-121.4224,309.5,1.4,1.2,2018-11-14,0950,Aqua,MODIS,30,6.03,283,17.5,N,0
39.7488,-121.4378,300.6,1.2,1.1,2018-11-14,1915,Terra,MODIS,0,6.03,285.4,6.1,D,0
39.7537,-121.4292,304.2,1.1,1.1,2018-11-15,0620,Terra,MODIS,37,6.03,284.6,9.7,N,0
39.7443,-121.4268,307.4,1.1,1.1,2018-11-15,0620,Terra,MODIS,37,6.03,284.6,11.8,N,0
