latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
39.73163,-121.45086,331.83,0.41,0.37,2018-11-09,2111,N,VIIRS,n,2,290.68,22.02,D,0
39.73502,-121.45181,344.05,0.41,0.37,2018-11-09,2111,N,VIIRS,n,2,301.46,30.3,D,0
39.73841,-121.45271,352.04,0.41,0.37,2018-11-09,2111,N,VIIRS,n,2,304.55,30.3,D,0
39.74183,-121.45347,346.05,0.41,0.37,2018-11-09,2111,N,VIIRS,n,2,297.11,10.61,D,0
39.74119,-121.44987,296.25,0.43,0.46,2018-11-10,0930,N,VIIRS,n,2,280.92,0.89,N,0
39.74289,-121.45203,325.93,0.43,0.46,2018-11-10,0930,N,VIIRS,n,2,283.55,3.24,N,0
39.73867,-121.4529,327.86,0.43,0.46,2018-11-10,0930,N,VIIRS,n,2,284.64,3.24,N,0
39.73399,-121.44903,313.55,0.43,0.46,2018-11-10,0930,N,VIIRS,n,2,283.09,2.1,N,0
39.72985,-121.45069,306.17,0.43,0.46,2018-11-10,0930,N,VIIRS,n,2,281.9,2.1,N,0
39.72573,-121.45274,303.84,0.43,0.46,2018-11-10,0930,N,VIIRS,n,2,280.73,1.48,N,0
39.74522,-121.44856,303.8,0.7,0.75,2018-11-10,1110,N,VIIRS,n,2,281.57,3.55,N,0
39.73072,-121.45097,329.52,0.7,0.75,2018-11-10,1110,N,VIIRS,n,2,282.87,7.68,N,0
39.72408,-121.4537,347.07,0.41,0.37,2018-11-10,2053,N,VIIRS,n,2,291.56,4.59,D,0
39.72831,-121.44953,353.68,0.41,0.37,2018-11-10,2053,N,VIIRS,n,2,300.08,30.6,D,0
39.72877,-121.4477,335.06,0.41,0.37,2018-11-10,2053,N,VIIRS,n,2,295.97,16.01,D,0
39.72792,-121.45257,346.7,0.41,0.37,2018-11-10,2053,N,VIIRS,n,2,292.64,15.24,D,0
39.73217,-121.44848,351.7,0.41,0.37,2018-11-10,2053,N,VIIRS,n,2,296.76,16.01,D,0
39.73557,-121.44927,338.63,0.41,0.37,2018-11-10,2053,N,VIIRS,n,2,295.48,8.08,D,0
39.73895,-121.45013,333.77,0.41,0.37,2018-11-10,2053,N,VIIRS,n,2,289.3,8.08,D,0
39.74231,-121.45107,334.92,0.41,0.37,2018-11-10,2053,N,VIIRS,n,2,290.67,9.2,D,0
